Unnamed: 0,REPORTING_DATE,into_default_flag,PD
606,9/30/2013,0,6.17e-05
607,5/31/2019,0,6.59e-05
608,12/31/2015,0,5.3500000000000006e-05
609,3/31/2017,0,6.12e-05
610,12/31/2010,0,0.0001
611,1/31/2012,0,5.27e-05
612,10/31/2008,0,6.12e-05
613,8/31/2017,0,5.3200000000000006e-05
614,11/30/2017,0,5.18e-05
615,3/31/2017,0,5.03e-05
616,4/30/2012,0,5.9999999999999995e-05
617,8/31/2016,0,5.99e-05
618,12/31/2017,0,0.000100785
619,12/31/2017,0,5.18e-05
620,7/31/2019,0,5.47e-05
621,1/31/2011,0,6.14e-05
622,12/31/2018,0,5.2600000000000005e-05
623,10/31/2011,0,5.3e-05
624,7/31/2010,0,6.39e-05
625,12/31/2018,0,6.14e-05
626,7/31/2017,0,5.31e-05
627,7/31/2009,0,5.3200000000000006e-05
628,2/28/2015,0,5.31e-05
629,11/30/2014,0,5.2300000000000004e-05
630,7/31/2018,0,8.78e-05
631,2/28/2011,0,8.609999999999999e-05
632,9/30/2017,0,5.31e-05
633,2/28/2010,0,8.62e-05
634,8/31/2019,0,6.0899999999999996e-05
635,12/31/2007,0,8.609999999999999e-05
636,7/31/2017,0,5.3e-05
637,1/31/2015,0,5.9499999999999996e-05
638,9/30/2016,0,0.00017560700000000001
639,5/31/2019,0,6.11e-05
640,7/31/2017,0,8.75e-05
641,6/30/2019,0,5.28e-05
642,7/31/2019,0,6.0899999999999996e-05
643,12/31/2014,0,5.18e-05
644,2/28/2010,0,8.950000000000001e-05
645,5/31/2019,0,6.13e-05
646,3/31/2014,0,5.25e-05
647,6/30/2018,0,8.66e-05
648,6/30/2013,0,5.3200000000000006e-05
649,12/31/2018,0,5.3299999999999995e-05
650,9/30/2017,0,6.29e-05
651,6/30/2017,0,6.11e-05
652,1/31/2017,0,5.94e-05
653,10/31/2017,0,5.2600000000000005e-05
654,7/31/2019,0,5.629999999999999e-05
655,7/31/2008,0,5.3200000000000006e-05
656,4/30/2018,0,6.07e-05
657,7/31/2007,0,6.11e-05
658,10/31/2018,0,5.16e-05
659,1/31/2013,0,5.25e-05
660,3/31/2019,0,6.13e-05
661,1/31/2019,0,5.01e-05
662,9/30/2019,0,5.8599999999999995e-05
663,12/31/2010,0,5.8099999999999996e-05
664,8/31/2017,0,9.75e-05
665,5/31/2011,0,8.88e-05
666,12/31/2017,0,5.8899999999999995e-05
667,3/31/2014,0,5.2600000000000005e-05
668,2/28/2018,0,6.08e-05
669,10/31/2009,0,4.8599999999999995e-05
670,8/31/2017,0,8.85e-05
671,1/31/2013,0,8.72e-05
672,9/30/2019,0,5.28e-05
673,9/30/2016,0,5.4000000000000005e-05
674,10/31/2012,0,0.000100514
675,11/30/2010,0,5.25e-05
676,7/31/2019,0,8.73e-05
677,3/31/2008,0,0.00010070200000000001
678,10/31/2017,0,5.31e-05
679,3/31/2013,0,6.409999999999999e-05
680,8/31/2013,0,8.690000000000001e-05
681,9/30/2019,0,5.25e-05
682,8/31/2017,0,0.000175991
683,2/29/2016,0,6.19e-05
684,5/31/2018,0,9.990000000000002e-05
685,2/28/2017,0,5.56e-05
686,4/30/2015,0,6.51e-05
687,5/31/2010,0,6.159999999999999e-05
688,1/31/2017,0,5.3200000000000006e-05
689,5/31/2016,0,5.17e-05
690,2/28/2013,0,5.2600000000000005e-05
691,5/31/2017,0,5.2600000000000005e-05
692,12/31/2015,0,5.3400000000000004e-05
693,1/31/2008,0,5.99e-05
694,5/31/2016,0,5.3e-05
695,11/30/2012,0,5.28e-05
696,4/30/2018,0,5.13e-05
697,2/28/2015,0,5.13e-05
698,2/28/2013,0,5.2300000000000004e-05
699,10/31/2015,0,0.000100606
700,5/31/2018,0,6.14e-05
701,10/31/2011,0,5.98e-05
702,3/31/2013,0,6.13e-05
703,7/31/2019,0,5.21e-05
704,9/30/2018,0,5.6000000000000006e-05
